"month","total_transactions","active_customers","monthly_revenue"
"2009-12","1512","955","686654.16"
"2010-01","1011","720","557319.06"
"2010-02","1104","772","506371.06"
"2010-03","1524","1057","699608.99"
"2010-04","1329","942","594609.19"
"2010-05","1377","966","599985.79"
"2010-06","1497","1041","639066.58"
"2010-07","1381","928","591636.74"
"2010-08","1293","911","604242.65"
"2010-09","1689","1145","831615.00"
"2010-10","2133","1497","1036680.00"
"2010-11","2587","1607","1172336.04"
"2010-12","1400","885","884591.89"
"2011-01","987","741","569445.04"
"2011-02","997","758","447137.35"
"2011-03","1321","974","595500.76"
"2011-04","1149","856","469200.36"
"2011-05","1555","1056","678594.56"
"2011-06","1393","991","661213.69"
"2011-07","1331","949","600091.01"
"2011-08","1280","935","645343.90"
"2011-09","1755","1266","952838.38"
"2011-10","1929","1364","1039318.79"
"2011-11","2657","1664","1161817.38"
"2011-12","778","615","518210.79"
