"stockcode","description","total_units_sold","total_revenue","unique_customers"
"22423","REGENCY CAKESTAND 3 TIER","24899","286486.30","1314"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER","93640","252072.46","1490"
"23843","PAPER CRAFT , LITTLE BIRDIE","80995","168469.60","1"
"M","Manual","9803","152340.57","438"
"85099B","JUMBO BAG RED RETROSPOT","75759","136980.08","860"
"84879","ASSORTED COLOUR BIRD ORNAMENT","79913","127074.17","1010"
"POST","POSTAGE","5333","126563.04","405"
"47566","PARTY BUNTING","23607","103880.23","894"
"23166","MEDIUM CERAMIC TOP STORAGE JAR","77916","81416.73","138"
"22086","PAPER CHAIN KIT 50'S CHRISTMAS ","29477","79594.33","896"
"79321","CHILLI LIGHTS","15735","72860.14","304"
"21137","BLACK RECORD COVER FRAME","19629","67209.44","198"
"85099F","JUMBO BAG STRAWBERRY","36098","64601.65","549"
"82484","WOOD BLACK BOARD ANT WHITE FINISH","10893","60513.09","451"
"84347","ROTATING SILVER ANGELS T-LIGHT HLDR","29498","57779.17","300"
"21621","VINTAGE UNION JACK BUNTING","6542","54815.12","583"
"15056N","EDWARDIAN PARASOL NATURAL","11027","54741.46","347"
"85099C","JUMBO  BAG BAROQUE BLACK WHITE","29447","53168.34","506"
"22189","CREAM HEART CARD HOLDER","18113","52627.29","536"
"22470","HEART OF WICKER LARGE","17866","52157.68","827"
