"country","total_customers","total_transactions","total_revenue","revenue_per_customer"
"United Kingdom","5336","33389","14627817.14","2741.35"
"EIRE","5","542","602058.00","120411.60"
"Netherlands","22","216","549952.66","24997.85"
"Germany","107","756","388959.99","3635.14"
"France","95","594","315714.40","3323.31"
"Australia","15","89","168484.66","11232.31"
"Spain","41","147","98840.54","2410.74"
"Switzerland","22","82","93624.34","4255.65"
"Sweden","19","98","86079.04","4530.48"
"Denmark","12","42","68560.19","5713.35"
"Belgium","29","143","57322.77","1976.65"
"Portugal","24","84","48205.76","2008.57"
"Japan","10","33","47138.39","4713.84"
"Channel Islands","13","54","44703.76","3438.75"
"Norway","12","39","42362.48","3530.21"
"Italy","17","60","29363.42","1727.26"
"Finland","14","55","25243.34","1803.10"
"Cyprus","11","35","24614.44","2237.68"
"Austria","13","40","20297.01","1561.31"
"Greece","5","18","18711.19","3742.24"
"Singapore","1","8","13158.16","13158.16"
"Poland","6","28","10462.45","1743.74"
"Israel","4","7","10421.09","2605.27"
"United Arab Emirates","4","9","8897.19","2224.30"
"Unspecified","6","16","8613.65","1435.61"
"USA","8","16","7920.01","990.00"
"Lithuania","1","6","6553.74","6553.74"
"Iceland","1","8","5633.32","5633.32"
"Malta","2","7","4757.34","2378.67"
"Canada","5","7","4332.10","866.42"
"Thailand","1","2","3070.54","3070.54"
"RSA","2","2","1933.74","966.87"
"Lebanon","1","1","1693.88","1693.88"
"Brazil","2","2","1411.87","705.94"
"Bahrain","2","4","1354.37","677.19"
"European Community","1","3","1159.25","1159.25"
"Korea","2","2","1118.51","559.26"
"Czech Republic","1","2","786.74","786.74"
"West Indies","1","1","536.41","536.41"
"Saudi Arabia","1","1","145.92","145.92"
"Nigeria","1","2","140.39","140.39"
