"day_number","day_name","hour","total_transactions","total_revenue"
"0","Sunday   ","9","6","2853.12"
"0","Sunday   ","10","519","176405.43"
"0","Sunday   ","11","836","318936.56"
"0","Sunday   ","12","969","355070.33"
"0","Sunday   ","13","825","344176.02"
"0","Sunday   ","14","663","242134.85"
"0","Sunday   ","15","704","283549.80"
"0","Sunday   ","16","219","82834.39"
"1","Monday   ","7","14","15880.42"
"1","Monday   ","8","165","89910.54"
"1","Monday   ","9","449","241862.06"
"1","Monday   ","10","664","348523.79"
"1","Monday   ","11","676","337624.27"
"1","Monday   ","12","957","402996.24"
"1","Monday   ","13","871","433594.67"
"1","Monday   ","14","724","331092.77"
"1","Monday   ","15","648","276172.61"
"1","Monday   ","16","367","202050.95"
"1","Monday   ","17","144","65440.10"
"1","Monday   ","18","12","6561.17"
"2","Tuesday  ","7","17","11442.26"
"2","Tuesday  ","8","199","116772.68"
"2","Tuesday  ","9","576","296461.06"
"2","Tuesday  ","10","776","497549.28"
"2","Tuesday  ","11","784","468177.84"
"2","Tuesday  ","12","1063","472784.93"
"2","Tuesday  ","13","989","433389.86"
"2","Tuesday  ","14","746","333691.00"
"2","Tuesday  ","15","644","330758.18"
"2","Tuesday  ","16","413","235000.30"
"2","Tuesday  ","17","253","92843.55"
"2","Tuesday  ","18","71","25651.08"
"2","Tuesday  ","19","30","14623.87"
"2","Tuesday  ","20","2","967.80"
"3","Wednesday","7","11","10110.76"
"3","Wednesday","8","201","88118.92"
"3","Wednesday","9","528","255598.26"
"3","Wednesday","10","804","460875.70"
"3","Wednesday","11","786","382687.95"
"3","Wednesday","12","1154","545977.03"
"3","Wednesday","13","997","432118.36"
"3","Wednesday","14","844","360786.36"
"3","Wednesday","15","676","278555.04"
"3","Wednesday","16","445","191014.45"
"3","Wednesday","17","149","55146.17"
"3","Wednesday","19","2","3053.40"
"3","Wednesday","20","1","13031.50"
"4","Thursday ","6","1","4.25"
"4","Thursday ","7","22","16458.41"
"4","Thursday ","8","210","121646.32"
"4","Thursday ","9","512","274169.47"
"4","Thursday ","10","807","466321.81"
"4","Thursday ","11","756","392133.65"
"4","Thursday ","12","1084","522731.76"
"4","Thursday ","13","959","396589.50"
"4","Thursday ","14","840","391805.90"
"4","Thursday ","15","780","437218.12"
"4","Thursday ","16","584","255458.41"
"4","Thursday ","17","485","216614.05"
"4","Thursday ","18","330","161280.08"
"4","Thursday ","19","281","107870.38"
"4","Thursday ","20","47","25576.50"
"5","Friday   ","7","12","21654.72"
"5","Friday   ","8","203","106970.20"
"5","Friday   ","9","452","413077.18"
"5","Friday   ","10","746","379800.57"
"5","Friday   ","11","728","320759.09"
"5","Friday   ","12","899","419895.06"
"5","Friday   ","13","734","318230.05"
"5","Friday   ","14","684","299324.11"
"5","Friday   ","15","501","240585.50"
"5","Friday   ","16","240","113131.08"
"5","Friday   ","17","119","57716.19"
"5","Friday   ","18","2","75.50"
"5","Friday   ","19","9","373.46"
"5","Friday   ","20","1","22.14"
"6","Saturday ","10","6","1059.74"
"6","Saturday ","11","1","230.20"
"6","Saturday ","12","6","2110.65"
"6","Saturday ","13","7","2520.49"
"6","Saturday ","14","3","1130.93"
"6","Saturday ","15","5","1599.74"
"6","Saturday ","16","2","1151.30"
