"customer","recency_days","frequency","monetary","r_score","f_score","m_score","rfm_total","segment"
"17625.0",18,"8","6067.80",5,5,5,15,"Champions"
"13971.0",18,"14","4667.57",5,5,5,15,"Champions"
"13985.0",4,"22","10020.86",5,5,5,15,"Champions"
"13408.0",1,"106","51733.46",5,5,5,15,"Champions"
"12913.0",4,"13","6700.86",5,5,5,15,"Champions"
"14060.0",4,"30","9519.08",5,5,5,15,"Champions"
"15854.0",4,"21","5583.81",5,5,5,15,"Champions"
"13126.0",4,"13","3998.25",5,5,5,15,"Champions"
"17404.0",4,"21","47638.12",5,5,5,15,"Champions"
"18223.0",4,"26","14000.85",5,5,5,15,"Champions"
"12683.0",4,"20","11400.78",5,5,5,15,"Champions"
"17526.0",4,"12","4166.04",5,5,5,15,"Champions"
"13001.0",4,"33","24172.10",5,5,5,15,"Champions"
"14649.0",4,"9","3775.31",5,5,5,15,"Champions"
"16161.0",1,"43","12831.80",5,5,5,15,"Champions"
"15443.0",1,"14","5175.93",5,5,5,15,"Champions"
"16684.0",4,"55","147142.77",5,5,5,15,"Champions"
"16592.0",4,"28","7807.91",5,5,5,15,"Champions"
"16904.0",4,"20","5113.57",5,5,5,15,"Champions"
"15031.0",4,"14","3156.58",5,5,5,15,"Champions"
"15358.0",4,"42","17050.41",5,5,5,15,"Champions"
"16746.0",4,"42","18064.70",5,5,5,15,"Champions"
"13230.0",4,"30","6350.28",5,5,5,15,"Champions"
"15640.0",4,"29","23922.78",5,5,5,15,"Champions"
"17315.0",1,"41","9610.52",5,5,5,15,"Champions"
"17857.0",4,"23","27104.74",5,5,5,15,"Champions"
"17218.0",4,"18","4190.68",5,5,5,15,"Champions"
"15187.0",1,"15","4762.18",5,5,5,15,"Champions"
"16873.0",4,"12","14617.39",5,5,5,15,"Champions"
"18044.0",4,"18","3505.61",5,5,5,15,"Champions"
"15856.0",4,"52","34219.08",5,5,5,15,"Champions"
"17581.0",0,"43","18757.75",5,5,5,15,"Champions"
"17811.0",4,"47","9603.10",5,5,5,15,"Champions"
"12782.0",4,"11","3862.24",5,5,5,15,"Champions"
"12841.0",4,"40","7540.68",5,5,5,15,"Champions"
"14096.0",4,"17","53258.43",5,5,5,15,"Champions"
"18198.0",4,"17","5425.56",5,5,5,15,"Champions"
"16200.0",4,"12","5643.45",5,5,5,15,"Champions"
"15628.0",4,"17","5652.26",5,5,5,15,"Champions"
"13021.0",4,"17","4887.24",5,5,5,15,"Champions"
"14194.0",4,"36","18670.59",5,5,5,15,"Champions"
"14191.0",1,"15","4817.66",5,5,5,15,"Champions"
"17364.0",0,"28","12070.42",5,5,5,15,"Champions"
"17858.0",5,"30","12797.65",5,5,5,15,"Champions"
"16033.0",5,"27","10836.13",5,5,5,15,"Champions"
"12490.0",5,"20","8764.64",5,5,5,15,"Champions"
"13798.0",1,"110","75836.87",5,5,5,15,"Champions"
"17954.0",5,"19","3963.50",5,5,5,15,"Champions"
"18065.0",5,"28","5846.63",5,5,5,15,"Champions"
"14456.0",5,"9","3059.44",5,5,5,15,"Champions"
"12437.0",1,"38","11282.40",5,5,5,15,"Champions"
"17618.0",5,"11","4073.24",5,5,5,15,"Champions"
"16905.0",5,"17","5031.65",5,5,5,15,"Champions"
"15867.0",5,"31","9010.52",5,5,5,15,"Champions"
"14546.0",5,"11","5197.90",5,5,5,15,"Champions"
"16326.0",5,"24","4731.99",5,5,5,15,"Champions"
"13435.0",5,"9","4475.23",5,5,5,15,"Champions"
"13319.0",5,"58","22082.50",5,5,5,15,"Champions"
"13263.0",1,"38","8679.47",5,5,5,15,"Champions"
"17173.0",5,"8","3766.60",5,5,5,15,"Champions"
"18109.0",1,"38","9893.96",5,5,5,15,"Champions"
"16931.0",5,"23","5233.62",5,5,5,15,"Champions"
"16283.0",5,"8","4402.12",5,5,5,15,"Champions"
"12433.0",0,"10","20581.26",5,5,5,15,"Champions"
"14560.0",7,"44","6114.03",5,5,5,15,"Champions"
"13953.0",7,"12","6640.68",5,5,5,15,"Champions"
"15570.0",7,"25","9311.04",5,5,5,15,"Champions"
"15078.0",7,"52","17751.88",5,5,5,15,"Champions"
"15796.0",1,"17","5174.83",5,5,5,15,"Champions"
"14031.0",7,"44","40999.17",5,5,5,15,"Champions"
"13183.0",7,"15","7036.18",5,5,5,15,"Champions"
"13102.0",1,"37","11696.92",5,5,5,15,"Champions"
"18055.0",7,"14","11195.57",5,5,5,15,"Champions"
"15271.0",7,"24","4709.54",5,5,5,15,"Champions"
"18097.0",7,"11","4663.32",5,5,5,15,"Champions"
"17491.0",1,"17","5981.07",5,5,5,15,"Champions"
"18144.0",7,"19","5058.00",5,5,5,15,"Champions"
"18245.0",7,"20","6324.98",5,5,5,15,"Champions"
"15769.0",7,"46","88704.32",5,5,5,15,"Champions"
"17611.0",7,"28","8321.98",5,5,5,15,"Champions"
"14092.0",7,"24","7229.45",5,5,5,15,"Champions"
"16103.0",7,"22","6191.71",5,5,5,15,"Champions"
"14895.0",7,"38","25119.54",5,5,5,15,"Champions"
"16333.0",7,"22","26626.80",5,5,5,15,"Champions"
"12621.0",1,"35","22525.81",5,5,5,15,"Champions"
"17686.0",7,"9","8296.81",5,5,5,15,"Champions"
"17157.0",7,"19","5151.90",5,5,5,15,"Champions"
"13458.0",7,"16","11959.27",5,5,5,15,"Champions"
"16954.0",0,"20","6081.88",5,5,5,15,"Champions"
"14292.0",7,"16","9226.25",5,5,5,15,"Champions"
"14688.0",7,"28","7713.57",5,5,5,15,"Champions"
"17567.0",7,"9","5356.03",5,5,5,15,"Champions"
"14493.0",7,"10","5130.15",5,5,5,15,"Champions"
"17949.0",1,"116","109147.48",5,5,5,15,"Champions"
"15547.0",7,"26","10099.99",5,5,5,15,"Champions"
"13969.0",7,"35","13365.87",5,5,5,15,"Champions"
"13495.0",7,"10","5374.26",5,5,5,15,"Champions"
"16701.0",8,"26","9916.73",5,5,5,15,"Champions"
"14298.0",8,"82","91194.49",5,5,5,15,"Champions"
"14367.0",8,"16","9261.52",5,5,5,15,"Champions"
"16938.0",8,"9","7043.18",5,5,5,15,"Champions"
"17381.0",8,"38","40002.37",5,5,5,15,"Champions"
"15373.0",8,"17","3421.39",5,5,5,15,"Champions"
"12951.0",8,"15","3213.72",5,5,5,15,"Champions"
"14243.0",8,"17","7431.05",5,5,5,15,"Champions"
"15687.0",8,"9","2993.10",5,5,5,15,"Champions"
"13854.0",8,"39","12253.96",5,5,5,15,"Champions"
"15159.0",1,"34","22116.73",5,5,5,15,"Champions"
"13394.0",1,"19","6621.70",5,5,5,15,"Champions"
"17293.0",8,"17","3774.23",5,5,5,15,"Champions"
"17644.0",1,"20","6028.60",5,5,5,15,"Champions"
"17450.0",8,"51","246973.09",5,5,5,15,"Champions"
"18077.0",8,"18","4338.56",5,5,5,15,"Champions"
"12562.0",8,"9","4426.92",5,5,5,15,"Champions"
"14309.0",8,"11","3780.81",5,5,5,15,"Champions"
"16210.0",1,"33","38469.51",5,5,5,15,"Champions"
"14051.0",0,"37","22434.00",5,5,5,15,"Champions"
"16626.0",0,"17","4413.10",5,5,5,15,"Champions"
"17576.0",8,"41","9050.46",5,5,5,15,"Champions"
"14732.0",8,"19","5517.07",5,5,5,15,"Champions"
"16145.0",8,"19","6805.44",5,5,5,15,"Champions"
"15144.0",8,"29","12160.31",5,5,5,15,"Champions"
"13599.0",1,"33","10167.63",5,5,5,15,"Champions"
"12901.0",8,"28","17654.54",5,5,5,15,"Champions"
"16011.0",8,"29","5878.76",5,5,5,15,"Champions"
"12963.0",8,"12","3601.59",5,5,5,15,"Champions"
"16700.0",8,"25","9167.71",5,5,5,15,"Champions"
"14047.0",8,"14","4255.03",5,5,5,15,"Champions"
"16242.0",8,"14","7474.40",5,5,5,15,"Champions"
"14299.0",8,"27","14499.49",5,5,5,15,"Champions"
"16839.0",8,"44","22310.49",5,5,5,15,"Champions"
"16156.0",8,"20","6218.18",5,5,5,15,"Champions"
"14440.0",8,"13","6638.73",5,5,5,15,"Champions"
"14291.0",1,"23","7904.10",5,5,5,15,"Champions"
"14135.0",1,"24","9643.92",5,5,5,15,"Champions"
"13510.0",1,"11","4558.29",5,5,5,15,"Champions"
"12553.0",8,"12","4104.75",5,5,5,15,"Champions"
"14146.0",8,"12","9450.30",5,5,5,15,"Champions"
"17426.0",8,"13","8077.77",5,5,5,15,"Champions"
"15898.0",1,"25","5592.56",5,5,5,15,"Champions"
"15380.0",8,"11","3479.06",5,5,5,15,"Champions"
"14766.0",8,"11","6556.13",5,5,5,15,"Champions"
"12664.0",8,"11","5420.04",5,5,5,15,"Champions"
"15602.0",8,"16","3230.51",5,5,5,15,"Champions"
"13090.0",8,"23","14073.09",5,5,5,15,"Champions"
"18241.0",9,"21","2986.99",5,5,5,15,"Champions"
"15251.0",9,"21","20324.54",5,5,5,15,"Champions"
"14713.0",9,"21","5418.47",5,5,5,15,"Champions"
"15544.0",9,"20","8162.43",5,5,5,15,"Champions"
"12524.0",9,"17","9794.11",5,5,5,15,"Champions"
"16241.0",9,"16","4326.26",5,5,5,15,"Champions"
"15024.0",9,"16","4075.51",5,5,5,15,"Champions"
"14911.0",1,"378","284577.97",5,5,5,15,"Champions"
"15152.0",9,"14","5263.83",5,5,5,15,"Champions"
"14796.0",1,"27","10888.08",5,5,5,15,"Champions"
